title,price,area,sub,house_size,tow,house_type
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
整租·合力达卓越南城 3室2厅 东南,2500,文星镇,合力达卓越南城,3室2厅1卫,东南,102.95㎡
整租·梵锦108 3室2厅 南,5800,驷马桥,梵锦108,3室2厅2卫,南,106.67㎡
整租·蓝光COCO时代 3室2厅 西南,1700,八里小区,蓝光COCO时代,3室2厅1卫,西南,67.51㎡
合租·首创爱这城一二期 3居室 北卧,990,建设路,首创爱这城一二期,3室1厅1卫,北,11.90㎡
整租·东立国际花城 1室1厅 东南,1500,蛟龙港,东立国际花城,1室1厅1卫,东南,52.38㎡
合租·融城理想 4居室 北卧,1230,市一医院,融城理想,4室1厅1卫,北,7.80㎡
整租·紫金乐章 1室1厅 南,2200,金牛万达,紫金乐章,1室1厅1卫,南,72.61㎡
合租·慕和南道 5居室 北卧,1090,华阳,慕和南道,5室1厅2卫,北,8.75㎡
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
整租·合力达卓越南城 3室2厅 东南,2500,文星镇,合力达卓越南城,3室2厅1卫,东南,102.95㎡
整租·梵锦108 3室2厅 南,5800,驷马桥,梵锦108,3室2厅2卫,南,106.67㎡
整租·蓝光COCO时代 3室2厅 西南,1700,八里小区,蓝光COCO时代,3室2厅1卫,西南,67.51㎡
合租·首创爱这城一二期 3居室 北卧,990,建设路,首创爱这城一二期,3室1厅1卫,北,11.90㎡
整租·东立国际花城 1室1厅 东南,1500,蛟龙港,东立国际花城,1室1厅1卫,东南,52.38㎡
合租·融城理想 4居室 北卧,1230,市一医院,融城理想,4室1厅1卫,北,7.80㎡
整租·紫金乐章 1室1厅 南,2200,金牛万达,紫金乐章,1室1厅1卫,南,72.61㎡
合租·慕和南道 5居室 北卧,1090,华阳,慕和南道,5室1厅2卫,北,8.75㎡
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
整租·合力达卓越南城 3室2厅 东南,2500,文星镇,合力达卓越南城,3室2厅1卫,东南,102.95㎡
整租·梵锦108 3室2厅 南,5800,驷马桥,梵锦108,3室2厅2卫,南,106.67㎡
整租·蓝光COCO时代 3室2厅 西南,1700,八里小区,蓝光COCO时代,3室2厅1卫,西南,67.51㎡
合租·首创爱这城一二期 3居室 北卧,990,建设路,首创爱这城一二期,3室1厅1卫,北,11.90㎡
整租·东立国际花城 1室1厅 东南,1500,蛟龙港,东立国际花城,1室1厅1卫,东南,52.38㎡
合租·融城理想 4居室 北卧,1230,市一医院,融城理想,4室1厅1卫,北,7.80㎡
整租·紫金乐章 1室1厅 南,2200,金牛万达,紫金乐章,1室1厅1卫,南,72.61㎡
合租·慕和南道 5居室 北卧,1090,华阳,慕和南道,5室1厅2卫,北,8.75㎡
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
整租·合力达卓越南城 3室2厅 东南,2500,文星镇,合力达卓越南城,3室2厅1卫,东南,102.95㎡
整租·梵锦108 3室2厅 南,5800,驷马桥,梵锦108,3室2厅2卫,南,106.67㎡
整租·蓝光COCO时代 3室2厅 西南,1700,八里小区,蓝光COCO时代,3室2厅1卫,西南,67.51㎡
合租·首创爱这城一二期 3居室 北卧,990,建设路,首创爱这城一二期,3室1厅1卫,北,11.90㎡
整租·东立国际花城 1室1厅 东南,1500,蛟龙港,东立国际花城,1室1厅1卫,东南,52.38㎡
合租·融城理想 4居室 北卧,1230,市一医院,融城理想,4室1厅1卫,北,7.80㎡
整租·紫金乐章 1室1厅 南,2200,金牛万达,紫金乐章,1室1厅1卫,南,72.61㎡
合租·慕和南道 5居室 北卧,1090,华阳,慕和南道,5室1厅2卫,北,8.75㎡
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
整租·合力达卓越南城 3室2厅 东南,2500,文星镇,合力达卓越南城,3室2厅1卫,东南,102.95㎡
整租·梵锦108 3室2厅 南,5800,驷马桥,梵锦108,3室2厅2卫,南,106.67㎡
整租·蓝光COCO时代 3室2厅 西南,1700,八里小区,蓝光COCO时代,3室2厅1卫,西南,67.51㎡
合租·首创爱这城一二期 3居室 北卧,990,建设路,首创爱这城一二期,3室1厅1卫,北,11.90㎡
整租·东立国际花城 1室1厅 东南,1500,蛟龙港,东立国际花城,1室1厅1卫,东南,52.38㎡
合租·融城理想 4居室 北卧,1230,市一医院,融城理想,4室1厅1卫,北,7.80㎡
整租·紫金乐章 1室1厅 南,2200,金牛万达,紫金乐章,1室1厅1卫,南,72.61㎡
合租·慕和南道 5居室 北卧,1090,华阳,慕和南道,5室1厅2卫,北,8.75㎡
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
整租·合力达卓越南城 3室2厅 东南,2500,文星镇,合力达卓越南城,3室2厅1卫,东南,102.95㎡
整租·梵锦108 3室2厅 南,5800,驷马桥,梵锦108,3室2厅2卫,南,106.67㎡
整租·蓝光COCO时代 3室2厅 西南,1700,八里小区,蓝光COCO时代,3室2厅1卫,西南,67.51㎡
合租·首创爱这城一二期 3居室 北卧,990,建设路,首创爱这城一二期,3室1厅1卫,北,11.90㎡
整租·东立国际花城 1室1厅 东南,1500,蛟龙港,东立国际花城,1室1厅1卫,东南,52.38㎡
合租·融城理想 4居室 北卧,1230,市一医院,融城理想,4室1厅1卫,北,7.80㎡
整租·紫金乐章 1室1厅 南,2200,金牛万达,紫金乐章,1室1厅1卫,南,72.61㎡
合租·慕和南道 5居室 北卧,1090,华阳,慕和南道,5室1厅2卫,北,8.75㎡
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
整租·合力达卓越南城 3室2厅 东南,2500,文星镇,合力达卓越南城,3室2厅1卫,东南,102.95㎡
整租·梵锦108 3室2厅 南,5800,驷马桥,梵锦108,3室2厅2卫,南,106.67㎡
整租·蓝光COCO时代 3室2厅 西南,1700,八里小区,蓝光COCO时代,3室2厅1卫,西南,67.51㎡
合租·首创爱这城一二期 3居室 北卧,990,建设路,首创爱这城一二期,3室1厅1卫,北,11.90㎡
整租·东立国际花城 1室1厅 东南,1500,蛟龙港,东立国际花城,1室1厅1卫,东南,52.38㎡
合租·融城理想 4居室 北卧,1230,市一医院,融城理想,4室1厅1卫,北,7.80㎡
整租·紫金乐章 1室1厅 南,2200,金牛万达,紫金乐章,1室1厅1卫,南,72.61㎡
合租·慕和南道 5居室 北卧,1090,华阳,慕和南道,5室1厅2卫,北,8.75㎡
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
整租·合力达卓越南城 3室2厅 东南,2500,文星镇,合力达卓越南城,3室2厅1卫,东南,102.95㎡
整租·梵锦108 3室2厅 南,5800,驷马桥,梵锦108,3室2厅2卫,南,106.67㎡
整租·蓝光COCO时代 3室2厅 西南,1700,八里小区,蓝光COCO时代,3室2厅1卫,西南,67.51㎡
合租·首创爱这城一二期 3居室 北卧,990,建设路,首创爱这城一二期,3室1厅1卫,北,11.90㎡
整租·东立国际花城 1室1厅 东南,1500,蛟龙港,东立国际花城,1室1厅1卫,东南,52.38㎡
合租·融城理想 4居室 北卧,1230,市一医院,融城理想,4室1厅1卫,北,7.80㎡
整租·紫金乐章 1室1厅 南,2200,金牛万达,紫金乐章,1室1厅1卫,南,72.61㎡
合租·慕和南道 5居室 北卧,1090,华阳,慕和南道,5室1厅2卫,北,8.75㎡
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
整租·合力达卓越南城 3室2厅 东南,2500,文星镇,合力达卓越南城,3室2厅1卫,东南,102.95㎡
整租·梵锦108 3室2厅 南,5800,驷马桥,梵锦108,3室2厅2卫,南,106.67㎡
整租·蓝光COCO时代 3室2厅 西南,1700,八里小区,蓝光COCO时代,3室2厅1卫,西南,67.51㎡
合租·首创爱这城一二期 3居室 北卧,990,建设路,首创爱这城一二期,3室1厅1卫,北,11.90㎡
整租·东立国际花城 1室1厅 东南,1500,蛟龙港,东立国际花城,1室1厅1卫,东南,52.38㎡
合租·融城理想 4居室 北卧,1230,市一医院,融城理想,4室1厅1卫,北,7.80㎡
整租·紫金乐章 1室1厅 南,2200,金牛万达,紫金乐章,1室1厅1卫,南,72.61㎡
合租·慕和南道 5居室 北卧,1090,华阳,慕和南道,5室1厅2卫,北,8.75㎡
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
整租·合力达卓越南城 3室2厅 东南,2500,文星镇,合力达卓越南城,3室2厅1卫,东南,102.95㎡
整租·梵锦108 3室2厅 南,5800,驷马桥,梵锦108,3室2厅2卫,南,106.67㎡
整租·蓝光COCO时代 3室2厅 西南,1700,八里小区,蓝光COCO时代,3室2厅1卫,西南,67.51㎡
合租·首创爱这城一二期 3居室 北卧,990,建设路,首创爱这城一二期,3室1厅1卫,北,11.90㎡
整租·东立国际花城 1室1厅 东南,1500,蛟龙港,东立国际花城,1室1厅1卫,东南,52.38㎡
合租·融城理想 4居室 北卧,1230,市一医院,融城理想,4室1厅1卫,北,7.80㎡
整租·紫金乐章 1室1厅 南,2200,金牛万达,紫金乐章,1室1厅1卫,南,72.61㎡
合租·慕和南道 5居室 北卧,1090,华阳,慕和南道,5室1厅2卫,北,8.75㎡
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
整租·合力达卓越南城 3室2厅 东南,2500,文星镇,合力达卓越南城,3室2厅1卫,东南,102.95㎡
整租·梵锦108 3室2厅 南,5800,驷马桥,梵锦108,3室2厅2卫,南,106.67㎡
整租·蓝光COCO时代 3室2厅 西南,1700,八里小区,蓝光COCO时代,3室2厅1卫,西南,67.51㎡
合租·首创爱这城一二期 3居室 北卧,990,建设路,首创爱这城一二期,3室1厅1卫,北,11.90㎡
整租·东立国际花城 1室1厅 东南,1500,蛟龙港,东立国际花城,1室1厅1卫,东南,52.38㎡
合租·融城理想 4居室 北卧,1230,市一医院,融城理想,4室1厅1卫,北,7.80㎡
整租·紫金乐章 1室1厅 南,2200,金牛万达,紫金乐章,1室1厅1卫,南,72.61㎡
合租·慕和南道 5居室 北卧,1090,华阳,慕和南道,5室1厅2卫,北,8.75㎡
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
整租·合力达卓越南城 3室2厅 东南,2500,文星镇,合力达卓越南城,3室2厅1卫,东南,102.95㎡
整租·梵锦108 3室2厅 南,5800,驷马桥,梵锦108,3室2厅2卫,南,106.67㎡
整租·蓝光COCO时代 3室2厅 西南,1700,八里小区,蓝光COCO时代,3室2厅1卫,西南,67.51㎡
合租·首创爱这城一二期 3居室 北卧,990,建设路,首创爱这城一二期,3室1厅1卫,北,11.90㎡
整租·东立国际花城 1室1厅 东南,1500,蛟龙港,东立国际花城,1室1厅1卫,东南,52.38㎡
合租·融城理想 4居室 北卧,1230,市一医院,融城理想,4室1厅1卫,北,7.80㎡
整租·紫金乐章 1室1厅 南,2200,金牛万达,紫金乐章,1室1厅1卫,南,72.61㎡
合租·慕和南道 5居室 北卧,1090,华阳,慕和南道,5室1厅2卫,北,8.75㎡
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
整租·合力达卓越南城 3室2厅 东南,2500,文星镇,合力达卓越南城,3室2厅1卫,东南,102.95㎡
整租·梵锦108 3室2厅 南,5800,驷马桥,梵锦108,3室2厅2卫,南,106.67㎡
整租·蓝光COCO时代 3室2厅 西南,1700,八里小区,蓝光COCO时代,3室2厅1卫,西南,67.51㎡
合租·首创爱这城一二期 3居室 北卧,990,建设路,首创爱这城一二期,3室1厅1卫,北,11.90㎡
整租·东立国际花城 1室1厅 东南,1500,蛟龙港,东立国际花城,1室1厅1卫,东南,52.38㎡
合租·融城理想 4居室 北卧,1230,市一医院,融城理想,4室1厅1卫,北,7.80㎡
整租·紫金乐章 1室1厅 南,2200,金牛万达,紫金乐章,1室1厅1卫,南,72.61㎡
合租·慕和南道 5居室 北卧,1090,华阳,慕和南道,5室1厅2卫,北,8.75㎡
整租·九峰·东方明珠 2室2厅 东,1300,西河,九峰·东方明珠,2室2厅1卫,东,73.26㎡
合租·天府长城柏南郡 4居室 东卧,1130,天府长城,天府长城柏南郡,4室1厅1卫,东,10.00㎡
整租·龙光世纪中心 1室1厅 东,1700,理工大,龙光世纪中心,1室1厅1卫,东,56.00㎡
合租·比华利国际城三期 4居室 东卧,800,川师,比华利国际城三期,4室1厅1卫,东,12.00㎡
整租·龙光世纪中心 1室1厅 东南,1600,理工大,龙光世纪中心,1室1厅1卫,东南,29.31㎡
